City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
363,Harper,LR,77.13,overcast clouds,4.38,-7.72,Screensaver
364,Santa Engracia,ES,79.0,clear sky,41.94,-1.32,Casa rural Santa Engracia
365,Anloga,GH,84.2,few clouds,5.79,0.9,Dey Lodge
368,Cottonwood,US,88.0,clear sky,34.74,-112.01,AZ Pines Motel
369,Srandakan,ID,76.87,light rain,-7.94,110.25,Puri Brata
370,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
372,Mossendjo,CG,80.65,scattered clouds,-2.95,12.73,HOTEL D'ASSISE
376,Nokaneng,BW,82.26,clear sky,-19.67,22.27,
377,Kushima,JP,80.6,light intensity shower rain,31.46,131.23,Hanaoka
379,Itapicuru,BR,86.85,broken clouds,-11.32,-38.23,
380,Salaga,GH,79.95,light rain,8.55,-0.52,Maridon Lodge
382,Belmonte,BR,78.8,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
384,Pak Phanang,TH,80.55,moderate rain,8.35,100.2,Green Park Inn Hotel
388,Bubaque,GW,79.97,scattered clouds,11.28,-15.83,Casa Dora
389,Abu Zabad,SD,86.79,broken clouds,12.35,29.25,محي الدين نوري
393,Odweyne,SO,80.01,overcast clouds,9.41,45.06,Eng Hiirey House
394,Mustafakemalpasa,TR,84.2,clear sky,40.04,28.41,Erkek Öğrenci Yurdu
401,Yarmouth,US,78.01,clear sky,41.71,-70.23,The Inn At Cape Cod
405,Sulangan,PH,85.41,overcast clouds,11.14,123.72,Maia's Beach Resort
406,Oranjestad,AW,89.6,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
407,Kurbnesh,AL,82.4,clear sky,41.78,20.08,
408,Meulaboh,ID,77.22,overcast clouds,4.14,96.13,Kost Pria
415,Kalemie,CD,77.54,clear sky,-5.95,29.19,Mahobilali
418,Dawei,MM,78.94,overcast clouds,14.08,98.2,Hotel Dawei
420,Cozumel,MX,87.8,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
424,Lodja,CD,79.97,overcast clouds,-3.48,23.43,
427,Quelimane,MZ,77.0,few clouds,-17.88,36.89,Hotel Flamingo
430,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
431,Manhattan,US,82.0,clear sky,40.78,-73.97,Hotel Pennsylvania
433,Kroya,ID,76.59,overcast clouds,-7.63,109.25,RUSTANTO Fam
445,Trairi,BR,87.67,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
446,Abonnema,NG,82.6,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
