City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Beihai,CN,2020-09-03 17:51:30,21.48,109.1,84.33,79,60,10.25
271,Marzuq,YE,2020-09-03 17:51:30,14.4,46.47,84.83,22,17,5.08
272,Perth,AU,2020-09-03 17:48:45,-31.93,115.83,63.0,77,75,4.7
273,Baruun-Urt,MN,2020-09-03 17:51:30,46.68,113.28,52.47,65,43,5.75
274,Baculin,PH,2020-09-03 17:51:31,7.45,126.58,78.51,75,46,4.94
275,Kiama,AU,2020-09-03 17:51:31,-34.68,150.87,64.0,62,97,5.01
276,Lorengau,PG,2020-09-03 17:51:31,-2.02,147.27,81.93,76,88,5.66
277,Aykhal,RU,2020-09-03 17:51:31,66.0,111.5,45.5,88,91,9.04
278,Marondera,ZW,2020-09-03 17:51:32,-18.19,31.55,57.24,55,0,8.03
279,Vicuna,CL,2020-09-03 17:51:32,-30.03,-70.71,59.0,67,10,17.22
280,Helena,US,2020-09-03 17:49:27,46.59,-112.04,75.99,42,1,4.7
281,Vanavara,RU,2020-09-03 17:51:32,60.34,102.28,52.93,93,100,6.51
282,Sao Sebastiao,BR,2020-09-03 17:47:32,-23.76,-45.41,82.02,53,1,3.98
283,Olinda,BR,2020-09-03 17:51:32,-8.01,-34.86,80.6,65,75,8.05
284,Shelburne,CA,2020-09-03 17:48:49,44.08,-80.2,78.01,41,20,18.34
285,Tirat Karmel,IL,2020-09-03 17:51:33,32.76,34.97,86.0,89,0,6.93
286,Young,UY,2020-09-03 17:51:33,-32.68,-57.63,55.0,78,100,1.99
287,Praya,CV,2020-09-03 17:51:33,14.92,-23.51,87.8,55,40,10.29
288,Lardos,GR,2020-09-03 17:51:33,36.09,28.02,82.4,78,0,10.29
289,Port Macquarie,AU,2020-09-03 17:51:34,-31.43,152.92,55.4,93,40,6.64
290,Okha,RU,2020-09-03 17:51:34,53.57,142.95,54.37,91,100,9.66
291,Manggar,ID,2020-09-03 17:51:34,-2.88,108.27,80.53,83,77,10.51
292,San Cristobal,VE,2020-09-03 17:49:58,7.77,-72.22,89.6,55,40,4.7
293,Hobyo,SO,2020-09-03 17:51:34,5.35,48.53,76.6,80,88,27.38
294,Orlik,RU,2020-09-03 17:51:35,52.52,99.83,48.65,71,58,2.42
295,Maromitsa,RU,2020-09-03 17:51:35,59.87,48.01,47.39,88,98,1.9
296,Kanigiri,IN,2020-09-03 17:51:35,15.4,79.52,82.02,79,49,6.13
297,Chamba,IN,2020-09-03 17:51:35,32.57,76.13,72.25,65,97,2.46
298,Rognan,NO,2020-09-03 17:51:36,67.1,15.39,64.4,48,20,3.36
299,Swan Hill,AU,2020-09-03 17:51:36,-35.34,143.55,44.8,81,98,5.14
300,Marfino,RU,2020-09-03 17:51:36,55.7,37.38,64.4,52,99,11.18
301,Huambo,AO,2020-09-03 17:51:36,-12.78,15.74,73.04,33,93,2.62
302,Quatre Cocos,MU,2020-09-03 17:51:36,-20.21,57.76,69.8,77,75,14.99
303,Tuatapere,NZ,2020-09-03 17:51:37,-46.13,167.68,45.0,72,100,11.01
304,Taree,AU,2020-09-03 17:51:37,-31.9,152.47,51.8,100,0,4.97
305,Weston,US,2020-09-03 17:47:50,26.1,-80.4,96.01,63,1,11.41
306,Matara,LK,2020-09-03 17:51:37,5.95,80.54,78.85,89,49,8.48
